Gene start,Gene end,Strand,Gene name,Accnum,Product,Accession
1343943,1344158,1,T_RS06505,WP_000350226.1,type III secretion system needle filament protein SsaG,NC_004631.1
1344136,1344426,1,T_RS06510,WP_000444714.1,EscG/YscG/SsaH family type III secretion system needle protein co-chaperone,NC_004631.1
1344438,1344686,1,T_RS06515,WP_010989174.1,SctI family type III secretion system inner rod subunit SsaI,NC_004631.1
1344683,1345432,1,T_RS06520,WP_000862869.1,SPI-2 type III secretion system apparatus lipoprotein SsaJ,NC_004631.1
1345450,1345998,1,T_RS06525,WP_001765123.1,pathogenicity island protein,NC_004631.1
1345995,1346669,1,T_RS06530,WP_000011199.1,SPI-2 type III secretion system apparatus protein SsaK,NC_004631.1
1346635,1347651,1,T_RS06535,WP_001682022.1,SPI-2 type III secretion system apparatus protein SsaL,NC_004631.1
1347709,1348077,1,T_RS06540,WP_000383695.1,SPI-2 type III secretion system apparatus protein SsaM,NC_004631.1
1348062,1350107,1,T_RS06545,WP_001258227.1,SPI-2 type III secretion system apparatus protein SsaV,NC_004631.1
1350097,1351398,1,T_RS06550,WP_000787208.1,SctN family type III secretion system ATPase SsaN,NC_004631.1
1351401,1351778,1,T_RS06555,WP_000449096.1,SPI-2 type III secretion system apparatus protein SsaO,NC_004631.1
1351759,1352133,1,T_RS06560,WP_001223304.1,SPI-2 type III secretion system apparatus protein SsaP,NC_004631.1
1352114,1353082,1,T_RS06565,WP_000944194.1,SPI-2 type III secretion system cytoplasmic ring protein SsaQ,NC_004631.1
1353150,1353797,1,T_RS06570,WP_000056360.1,SPI-2 type III secretion system export apparatus protein SsaR,NC_004631.1
1353794,1354060,1,T_RS06575,WP_000999977.1,SPI-2 type III secretion system apparatus protein SsaS,NC_004631.1
1354061,1354840,1,T_RS06580,WP_000194051.1,SPI-2 type III secretion system apparatus protein SsaT,NC_004631.1
1354837,1355895,1,T_RS06585,WP_001291715.1,SPI-2 type III secretion system apparatus protein SsaU,NC_004631.1
1356368,1357741,-1,T_RS06600,WP_001175077.1,multidrug efflux MATE transporter MdtK,NC_004631.1
1357958,1358599,1,T_RS06605,WP_000493973.1,riboflavin synthase,NC_004631.1
1358641,1359789,-1,T_RS06610,WP_000098879.1,cyclopropane fatty acyl phospholipid synthase,NC_004631.1
1360078,1361283,-1,T_RS06615,WP_001182326.1,purine nucleoside transporter PunC,NC_004631.1
1361396,1362328,1,T_RS06620,WP_000269523.1,DNA-binding transcriptional activator PunR,NC_004631.1
1362325,1363350,-1,T_RS06625,WP_000190992.1,HTH-type transcriptional repressor PurR,NC_004631.1
1363646,1363735,1,T_RS25855,WP_000102277.1,YnhF family membrane protein,NC_004631.1
1363818,1364399,-1,T_RS06630,WP_000007299.1,superoxide dismutase [Fe],NC_004631.1
1364526,1365347,-1,T_RS06635,WP_001779739.1,C40 family peptidase,NC_004631.1
1365682,1366029,1,T_RS06640,WP_000108176.1,monothiol glutaredoxin 4,NC_004631.1
1366107,1366754,-1,T_RS06645,WP_001282267.1,ribonuclease T,NC_004631.1
1366855,1367262,-1,T_RS06650,WP_001237787.1,lactoylglutathione lyase,NC_004631.1
1367331,1368428,-1,T_RS06655,WP_000092935.1,alkene reductase,NC_004631.1
1368487,1369086,-1,T_RS06660,WP_001041823.1,TetR/AcrR family transcriptional regulator,NC_004631.1
1369189,1369428,1,T_RS06665,WP_001538148.1,DUF1289 domain-containing protein,NC_004631.1
1369479,1370375,1,T_RS06670,WP_000250718.1,aldo/keto reductase family oxidoreductase,NC_004631.1
1370455,1370976,1,T_RS06675,WP_000826818.1,superoxide dismutase [Cu-Zn] SodC2,NC_004631.1
1370952,1372991,-1,T_RS06680,WP_000777620.1,FUSC family protein,NC_004631.1
1372991,1373851,-1,T_RS06685,WP_001538147.1,HlyD family secretion protein,NC_004631.1
1373854,1374090,-1,T_RS06690,WP_000649756.1,DUF1656 domain-containing protein,NC_004631.1
1374285,1374725,1,T_RS06695,WP_000764554.1,transcriptional regulator SlyA,NC_004631.1
1374773,1375240,-1,T_RS06700,WP_000597179.1,outer membrane lipoprotein SlyB,NC_004631.1
1375513,1376634,1,T_RS06705,WP_000835021.1,anhydro-N-acetylmuramic acid kinase,NC_004631.1
1376722,1377051,1,T_RS06710,NA,C-type lysozyme inhibitor,NC_004631.1
1377110,1377766,1,T_RS06715,WP_001282834.1,pyridoxamine 5'-phosphate oxidase,NC_004631.1
1377893,1379167,1,T_RS06720,WP_000168626.1,tyrosine--tRNA ligase,NC_004631.1
1379227,1379924,1,T_RS06725,NA,pyridoxal kinase PdxY,NC_004631.1
1379916,1380521,-1,T_RS06730,WP_000765713.1,glutathione transferase GstA,NC_004631.1
1380626,1382131,-1,T_RS06735,WP_000100913.1,dipeptide/tripeptide permease DtpA,NC_004631.1
1382732,1383367,-1,T_RS06740,WP_001030324.1,endonuclease III,NC_004631.1
1383367,1384059,-1,T_RS06745,WP_001289628.1,electron transport complex subunit E,NC_004631.1
1384062,1384682,-1,T_RS06750,WP_000920820.1,electron transport complex subunit RsxG,NC_004631.1
1384686,1385744,-1,T_RS06755,WP_000231887.1,electron transport complex subunit RsxD,NC_004631.1
1385745,1387766,-1,T_RS06760,WP_000915581.1,electron transport complex subunit RsxC,NC_004631.1
1387759,1388337,-1,T_RS06765,WP_001092600.1,electron transport complex subunit RsxB,NC_004631.1
1388337,1388918,-1,T_RS06770,WP_000133179.1,electron transport complex subunit RsxA,NC_004631.1
1388995,1389435,-1,T_RS06775,WP_000214061.1,DUF2569 domain-containing protein,NC_004631.1
1389524,1389739,-1,T_RS06780,WP_000217946.1,transcription modulator YdgT,NC_004631.1
1390038,1390163,-1,T_RS06785,WP_031608772.1,division septum protein Blr,NC_004631.1
1390371,1391411,1,T_RS06790,WP_000998242.1,oxidoreductase,NC_004631.1
1391485,1392486,-1,T_RS06795,WP_000565566.1,adenosine deaminase,NC_004631.1
1392712,1392843,-1,T_RS25860,NA,transcriptional regulator,NC_004631.1
1392853,1393073,-1,T_RS06800,NA,glucose PTS transporter subunit EIIB,NC_004631.1
1393192,1394700,-1,T_RS06805,WP_000753325.1,YdgA family protein,NC_004631.1
1394803,1395978,-1,T_RS06810,WP_001170615.1,mannose-6-phosphate isomerase,NC_004631.1
1396178,1397824,1,T_RS06815,WP_000066606.1,class I fumarate hydratase,NC_004631.1
1397992,1399395,1,T_RS06820,WP_000259129.1,class II fumarate hydratase,NC_004631.1
1399392,1400321,-1,T_RS06825,WP_000092483.1,DNA replication terminus site-binding protein,NC_004631.1
1400397,1401698,-1,T_RS06830,WP_001681605.1,two-component system sensor histidine kinase RstB,NC_004631.1
1401809,1403515,-1,T_RS06835,WP_000928668.1,amidohydrolase,NC_004631.1
1403668,1404819,-1,T_RS06840,WP_000824321.1,porin OmpS2,NC_004631.1
1405300,1406031,-1,T_RS06850,WP_001080045.1,two-component system response regulator RstA,NC_004631.1
1406158,1406493,1,T_RS06855,WP_000524877.1,GlpM family protein,NC_004631.1
1406555,1407937,-1,T_RS06860,WP_000412353.1,amino acid permease,NC_004631.1
1408218,1408790,-1,T_RS06865,WP_001165548.1,recombinase family protein,NC_004631.1
1408862,1409335,1,T_RS06870,WP_024131173.1,phage tail protein,NC_004631.1
1409346,1409849,1,T_RS24080,WP_001802272.1,phage tail protein,NC_004631.1
1409849,1410466,1,T_RS06875,WP_001057643.1,tail fiber assembly protein,NC_004631.1
1410473,1410949,-1,T_RS06880,WP_024131174.1,phage tail protein,NC_004631.1
1410960,1411985,-1,T_RS25390,WP_000002046.1,phage tail protein,NC_004631.1
1411988,1412566,-1,T_RS06895,WP_000852584.1,phage tail protein I,NC_004631.1
1412559,1413662,-1,T_RS06900,WP_001219103.1,baseplate J/gp47 family protein,NC_004631.1
1413653,1414000,-1,T_RS06905,WP_000859114.1,GPW/gp25 family protein,NC_004631.1
1414057,1414584,-1,T_RS06910,WP_000148263.1,phage baseplate assembly protein V,NC_004631.1
1414581,1415735,-1,T_RS06915,WP_000808000.1,contractile injection system protein%2C VgrG/Pvc8 family,NC_004631.1
1415723,1415935,-1,T_RS06920,WP_000478221.1,tail protein X,NC_004631.1
1415935,1416819,-1,T_RS06925,WP_000458383.1,phage tail protein,NC_004631.1
1416819,1419284,-1,T_RS06930,WP_000135574.1,phage tail tape measure protein,NC_004631.1
1419378,1419515,-1,T_RS25865,WP_001148841.1,GpE family phage tail protein,NC_004631.1
1419460,1419795,-1,T_RS06935,WP_000084228.1,phage tail assembly protein,NC_004631.1
1419893,1420174,-1,T_RS06940,WP_000110118.1,hypothetical protein,NC_004631.1
1420177,1420701,-1,T_RS06945,WP_162828734.1,phage major tail tube protein,NC_004631.1
1420698,1422125,-1,T_RS06950,WP_000729859.1,phage tail sheath subtilisin-like domain-containing protein,NC_004631.1
1422115,1422366,-1,T_RS06955,WP_000666498.1,hypothetical protein,NC_004631.1
1422366,1422830,-1,T_RS06960,WP_001101804.1,Gp37 family protein,NC_004631.1
1422830,1423276,-1,T_RS06965,WP_000271668.1,DUF1320 domain-containing protein,NC_004631.1
1423278,1423616,-1,T_RS06970,WP_000537457.1,DUF2190 family protein,NC_004631.1
1423626,1424579,-1,T_RS06975,WP_001286905.1,hypothetical protein,NC_004631.1
1424594,1425709,-1,T_RS06980,WP_001273072.1,hypothetical protein,NC_004631.1
1425924,1426382,-1,T_RS06985,WP_000135517.1,phage virion morphogenesis protein,NC_004631.1
1426385,1427206,-1,T_RS06990,WP_000117561.1,phage minor head protein,NC_004631.1
1427187,1428683,-1,T_RS06995,WP_000090679.1,DUF935 domain-containing protein,NC_004631.1
1428683,1430224,-1,T_RS07000,WP_170825686.1,hypothetical protein,NC_004631.1
1430275,1430820,-1,T_RS07005,WP_000124060.1,DUF3486 family protein,NC_004631.1
1430820,1431131,-1,T_RS07010,WP_000227700.1,hypothetical protein,NC_004631.1
1431131,1431457,-1,T_RS07015,WP_000175097.1,membrane protein,NC_004631.1
1431454,1432104,-1,T_RS07020,WP_000264664.1,lipoprotein,NC_004631.1
1432088,1432816,-1,T_RS07025,WP_001104436.1,transglycosylase SLT domain-containing protein,NC_004631.1
1432819,1433169,-1,T_RS07030,WP_000793143.1,putative holin,NC_004631.1
1433413,1433943,-1,T_RS07035,WP_000074408.1,nucleoid-associated protein,NC_004631.1
1433966,1434610,1,T_RS07040,NA,DUF3102 domain-containing protein,NC_004631.1
1434614,1436383,1,T_RS07045,WP_000990529.1,DDE-type integrase/transposase/recombinase,NC_004631.1
1436394,1437560,1,T_RS07050,WP_000960673.1,AAA family ATPase,NC_004631.1
1437563,1437832,1,T_RS07055,WP_000843446.1,hypothetical protein,NC_004631.1
1437860,1438390,1,T_RS07060,WP_001140134.1,host-nuclease inhibitor Gam family protein,NC_004631.1
1438679,1438951,1,T_RS07070,WP_000632575.1,hypothetical protein,NC_004631.1
1438961,1439263,1,T_RS07075,WP_000197790.1,hypothetical protein,NC_004631.1
1439260,1439643,1,T_RS07080,WP_001315283.1,hypothetical protein,NC_004631.1
1439636,1439851,1,T_RS07085,WP_000132655.1,hypothetical protein,NC_004631.1
1439848,1440531,1,T_RS07090,WP_000131941.1,DUF2786 domain-containing protein,NC_004631.1
1440528,1440758,1,T_RS07095,WP_000631816.1,hypothetical protein,NC_004631.1
1440748,1440963,1,T_RS07100,WP_010989166.1,hypothetical protein,NC_004631.1
1440956,1441405,1,T_RS07105,WP_001315282.1,regulatory protein GemA,NC_004631.1
1441377,1441766,1,T_RS07110,WP_001281695.1,DNA-binding protein,NC_004631.1
1441948,1442892,-1,T_RS07115,WP_000769298.1,DUF1471 family protein YdgH,NC_004631.1
1442889,1442968,-1,T_RS26405,NA,hypothetical protein,NC_004631.1
1443419,1444948,1,T_RS07120,WP_001219360.1,Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha,NC_004631.1
1444959,1446347,1,T_RS07125,WP_000014056.1,Re/Si-specific NAD(P)(+) transhydrogenase subunit beta,NC_004631.1
1446522,1447556,-1,T_RS07130,WP_001118268.1,AI-2E family transporter,NC_004631.1
1447973,1448335,1,T_RS07135,WP_000500278.1,multidrug/spermidine efflux SMR transporter subunit MdtJ,NC_004631.1
1448322,1448651,1,T_RS07140,WP_001183821.1,multidrug/spermidine efflux SMR transporter subunit MdtI,NC_004631.1
1448686,1449507,-1,T_RS07145,WP_000549642.1,serine protease,NC_004631.1
1449776,1450027,-1,T_RS07150,WP_001766314.1,acid resistance repetitive basic protein Asr,NC_004631.1
1450263,1450355,1,T_RS26330,WP_001068153.1,hypothetical protein,NC_004631.1
1450421,1450603,1,T_RS26080,WP_000431187.1,hypothetical protein,NC_004631.1
1450560,1451018,1,T_RS07155,WP_000502118.1,IS200/IS605 family transposase,NC_004631.1
1451133,1452386,-1,T_RS07160,WP_000091796.1,MFS transporter,NC_004631.1
1452506,1453405,1,T_RS07165,WP_001019571.1,LysR family transcriptional regulator,NC_004631.1
1453533,1454753,1,T_RS07170,WP_000225089.1,ROK family transcriptional regulator,NC_004631.1
1454879,1455574,1,T_RS07175,WP_000919236.1,dethiobiotin synthase,NC_004631.1
1455530,1456819,-1,T_RS07180,WP_000554915.1,voltage-gated ClC-type chloride channel ClcB,NC_004631.1
1456955,1458103,-1,T_RS07185,WP_000593089.1,osmoprotectant ABC transporter ATP-binding protein OsmV,NC_004631.1
1458103,1458750,-1,T_RS07190,WP_000379676.1,osmoprotectant ABC transporter permease OsmW,NC_004631.1
1458760,1459662,-1,T_RS07195,WP_001211196.1,osmoprotectant ABC transporter substrate-binding protein OsmX,NC_004631.1
1459691,1460401,-1,T_RS07200,WP_000547814.1,osmoprotectant ABC transporter permease OsmY,NC_004631.1
1460706,1461320,-1,T_RS07205,WP_000206559.1,Tat proofreading chaperone DmsD,NC_004631.1
1461363,1462217,-1,T_RS07210,WP_000534718.1,dimethyl sulfoxide reductase anchor subunit,NC_004631.1
1462219,1462836,-1,T_RS07215,WP_000213070.1,dimethylsulfoxide reductase subunit B,NC_004631.1
1462847,1465282,-1,T_RS07220,WP_000705268.1,dimethyl sulfoxide reductase subunit A,NC_004631.1
1465384,1467825,-1,T_RS07225,WP_001685547.1,molybdopterin-dependent oxidoreductase,NC_004631.1
1468064,1468288,-1,T_RS07230,WP_250697971.1,DUF1161 domain-containing protein,NC_004631.1
1468392,1469102,1,T_RS07235,WP_000743128.1,YnfC family lipoprotein,NC_004631.1
1469143,1469703,-1,T_RS07240,WP_000199998.1,spermidine N1-acetyltransferase,NC_004631.1
1469739,1470080,-1,T_RS07245,WP_001066440.1,DUF1283 family protein,NC_004631.1
1470233,1470559,1,T_RS07250,WP_000921383.1,YnfA family protein,NC_004631.1
1470681,1471895,1,T_RS07255,WP_000706283.1,starvation-sensing protein RspA,NC_004631.1
1471906,1472769,1,T_RS07260,WP_000836485.1,Zn-dependent oxidoreductase,NC_004631.1
1472823,1474202,1,T_RS07265,WP_000192118.1,MHS family MFS transporter,NC_004631.1
1474346,1475812,1,T_RS26225,NA,mannitol dehydrogenase family protein,NC_004631.1
1475879,1476082,-1,T_RS07275,WP_000989267.1,putative selenium delivery protein YdfZ,NC_004631.1
1476263,1476949,-1,T_RS07280,WP_000215563.1,GntR family transcriptional regulator,NC_004631.1
1477079,1477825,-1,T_RS07285,WP_000636564.1,bifunctional NADP-dependent 3-hydroxy acid dehydrogenase/3-hydroxypropionate dehydrogenase YdfG,NC_004631.1
1477964,1480006,1,T_RS07290,WP_000106277.1,peptidyl-dipeptidase Dcp,NC_004631.1
1480351,1480533,1,T_RS07295,WP_000807642.1,general stress protein,NC_004631.1
1480653,1481180,-1,T_RS07300,WP_001235351.1,2-oxo-tetronate isomerase,NC_004631.1
1481607,1481980,1,T_RS07305,NA,YdeI family stress tolerance OB fold protein,NC_004631.1
1482328,1482423,-1,T_RS25875,WP_000901531.1,protein MgtS,NC_004631.1
1482671,1483858,-1,T_RS07315,WP_001068053.1,efflux MFS transporter YdeE,NC_004631.1
1484086,1484988,1,T_RS07320,WP_000987753.1,O-acetylserine/cysteine exporter,NC_004631.1
1485107,1485322,-1,T_RS07325,WP_000783049.1,multiple antibiotic resistance protein MarB,NC_004631.1
1485351,1485734,-1,T_RS07330,WP_000091194.1,MDR efflux pump AcrAB transcriptional activator MarA,NC_004631.1
1485754,1486188,-1,T_RS07335,WP_000843434.1,multiple antibiotic resistance transcriptional regulator MarR,NC_004631.1
1486447,1487112,1,T_RS07340,WP_000968968.1,MarC family NAAT transporter,NC_004631.1
1487159,1488349,-1,T_RS07345,WP_000154617.1,sugar transporter,NC_004631.1
1488465,1489337,-1,T_RS07350,WP_000366540.1,LysR family transcriptional regulator,NC_004631.1
1489440,1490828,1,T_RS07355,WP_000178404.1,succinate-semialdehyde dehydrogenase,NC_004631.1
1490901,1491827,1,T_RS07360,WP_000090079.1,glutaminase B,NC_004631.1
1491827,1492186,1,T_RS07365,WP_000992456.1,DUF4186 domain-containing protein,NC_004631.1
1492442,1493356,1,T_RS07370,WP_001670736.1,bestrophin family protein,NC_004631.1
1493412,1493954,-1,T_RS07375,WP_000513114.1,nuclear transport factor 2 family protein,NC_004631.1
1494672,1495085,1,T_RS07380,NA,porin,NC_004631.1
1495056,1495826,-1,T_RS07385,WP_001189412.1,ATP/GTP-binding protein,NC_004631.1
1495814,1496875,-1,T_RS07390,WP_001016742.1,rubredoxin,NC_004631.1
1496893,1497303,-1,T_RS07395,WP_000155978.1,hydrogenase,NC_004631.1
1497300,1497599,-1,T_RS07400,WP_000334908.1,HypC/HybG/HupF family hydrogenase formation chaperone,NC_004631.1
1497599,1498207,-1,T_RS07405,WP_000852667.1,HyaD/HybD family hydrogenase maturation endopeptidase,NC_004631.1
1498213,1498956,-1,T_RS07410,WP_000924456.1,Ni/Fe-hydrogenase%2C b-type cytochrome subunit,NC_004631.1
1498907,1500709,-1,T_RS07415,NA,nickel-dependent hydrogenase large subunit,NC_004631.1
1500712,1501815,-1,T_RS07420,WP_001194451.1,hydrogenase small subunit,NC_004631.1
1502243,1503334,1,T_RS07425,WP_000976508.1,linear amide C-N hydrolase,NC_004631.1
1503380,1504171,1,T_RS07430,WP_001518759.1,FadR family transcriptional regulator,NC_004631.1
1504230,1505255,-1,T_RS07435,WP_000864933.1,zinc-binding alcohol dehydrogenase family protein,NC_004631.1
1505230,1506516,-1,T_RS07440,WP_000824230.1,MFS transporter,NC_004631.1
1506693,1508249,-1,T_RS07445,WP_000476914.1,PhoPQ-activated pathogenicity-related family protein,NC_004631.1
1508319,1509560,-1,T_RS07450,WP_001095727.1,MFS transporter,NC_004631.1
1509550,1510712,-1,T_RS07455,NA,FAD-dependent monooxygenase,NC_004631.1
1510757,1511245,1,T_RS07460,WP_001293639.1,MarR family winged helix-turn-helix transcriptional regulator,NC_004631.1
1511427,1512506,1,T_RS07465,WP_000954693.1,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,NC_004631.1
1512558,1512680,-1,T_RS24100,NA,RidA family protein,NC_004631.1
1512674,1512802,-1,T_RS07470,NA,type II toxin-antitoxin system mRNA interferase toxin%2C RelE/StbE family,NC_004631.1
1512956,1513255,1,T_RS26410,WP_000381837.1,DUF1493 family protein,NC_004631.1
1513448,1514539,-1,T_RS07480,NA,hypothetical protein,NC_004631.1
1514605,1515307,1,T_RS07485,NA,hypothetical protein,NC_004631.1
1515264,1516484,1,T_RS07490,WP_048659917.1,pyridoxal phosphate-dependent aminotransferase,NC_004631.1
1516597,1518672,-1,T_RS07495,NA,glycogen debranching protein GlgX,NC_004631.1
1518729,1521257,-1,T_RS07500,WP_000613170.1,malto-oligosyltrehalose synthase,NC_004631.1
1521254,1523038,-1,T_RS07505,WP_000095550.1,malto-oligosyltrehalose trehalohydrolase,NC_004631.1
1523167,1523952,-1,T_RS07510,WP_000698597.1,OBAP family protein,NC_004631.1
1524095,1524424,-1,T_RS07515,WP_001032161.1,acid-activated periplasmic chaperone HdeB,NC_004631.1
1525193,1525828,1,T_RS07520,WP_000778348.1,hypothetical protein,NC_004631.1
1525959,1526870,1,T_RS07525,WP_001681583.1,hemolysin HlyE,NC_004631.1
1526991,1527422,-1,T_RS07530,WP_000152297.1,OsmC family protein,NC_004631.1
1527934,1528149,1,T_RS07535,WP_000495700.1,biofilm-dependent modulation protein,NC_004631.1
1528244,1528387,1,T_RS07540,WP_000841559.1,stationary-phase-induced ribosome-associated protein,NC_004631.1
1528564,1530261,1,T_RS07545,WP_000450511.1,NAD-dependent malic enzyme,NC_004631.1
1530543,1531553,1,T_RS07550,WP_000642447.1,alcohol dehydrogenase AdhP,NC_004631.1
1531546,1532676,-1,T_RS07555,NA,molybdopterin-dependent oxidoreductase,NC_004631.1
1532792,1533170,1,T_RS07560,NA,GFA family protein,NC_004631.1
1533195,1534682,-1,T_RS07565,WP_000489748.1,methyl viologen efflux MFS transporter SmvA,NC_004631.1
1534800,1535378,1,T_RS07570,WP_000121044.1,TetR family transcriptional regulator,NC_004631.1
1535593,1536981,1,T_RS07575,WP_000198245.1,NarK family nitrate/nitrite MFS transporter,NC_004631.1
1537073,1540801,1,T_RS07580,WP_000040363.1,nitrate reductase subunit alpha,NC_004631.1
1540798,1542342,1,T_RS07585,WP_000702603.1,nitrate reductase subunit beta,NC_004631.1
1542342,1542854,1,T_RS07590,NA,nitrate reductase molybdenum cofactor assembly chaperone,NC_004631.1
1542875,1542970,1,T_RS26415,NA,respiratory nitrate reductase subunit gamma,NC_004631.1
1543076,1543969,1,T_RS07595,WP_000804298.1,PhzF family isomerase,NC_004631.1
1544005,1544850,-1,T_RS07600,WP_000200336.1,N-hydroxyarylamine O-acetyltransferase,NC_004631.1
1545133,1545765,-1,T_RS07605,WP_001147139.1,hypothetical protein,NC_004631.1
1546278,1547771,1,T_RS07610,WP_000857112.1,L-asparagine permease,NC_004631.1
1547848,1548069,-1,T_RS07615,WP_000732362.1,YgdI/YgdR family lipoprotein,NC_004631.1
1548214,1549275,-1,T_RS07620,WP_000550638.1,YncE family protein,NC_004631.1
1549539,1551659,1,T_RS07625,WP_000692046.1,TonB-dependent receptor,NC_004631.1
1551715,1552380,-1,T_RS07630,WP_001119592.1,colanic acid/biofilm transcriptional regulator McbR,NC_004631.1
1552714,1553751,-1,T_RS07635,WP_001682108.1,NADP-dependent oxidoreductase,NC_004631.1
1553963,1554478,1,T_RS07640,WP_000155377.1,L-methionine sulfoximine/L-methionine sulfone acetyltransferase,NC_004631.1
1554478,1554927,1,T_RS07645,WP_001076571.1,DMT family transporter,NC_004631.1
1554932,1555165,-1,T_RS07650,WP_000018716.1,YdcY family protein,NC_004631.1
1555389,1556714,1,T_RS07655,WP_001129971.1,virulence-associated effector SrfA,NC_004631.1
1556719,1559700,1,T_RS07660,WP_000960825.1,virulence factor SrfB,NC_004631.1
1559697,1561844,1,T_RS07665,WP_000165637.1,virulence-associated effector SrfC,NC_004631.1
1561889,1561981,-1,T_RS24120,NA,GhoT/OrtT family toxin,NC_004631.1
1562125,1562220,1,T_RS23620,WP_001103198.1,stress response membrane protein YncL,NC_004631.1
1562325,1563770,-1,T_RS07675,WP_000158108.1,aminobutyraldehyde dehydrogenase,NC_004631.1
1563885,1565309,-1,T_RS07680,WP_000760699.1,GntR family transcriptional regulator YdcR,NC_004631.1
1565445,1566215,-1,T_RS07685,WP_000237711.1,M15 family metallopeptidase,NC_004631.1
1566478,1566708,-1,T_RS07690,WP_010989159.1,hypothetical protein,NC_004631.1
1566741,1567139,-1,T_RS07695,WP_000747901.1,hypothetical protein,NC_004631.1
1567668,1568618,1,T_RS07700,WP_001122944.1,SPI-2 type III secretion system effector SifB,NC_004631.1
1568892,1569122,1,T_RS07705,WP_000956438.1,DUF2554 family protein,NC_004631.1
1569123,1571087,-1,T_RS07710,WP_001249757.1,U32 family peptidase,NC_004631.1
1571166,1571702,-1,T_RS07715,WP_000369547.1,XRE family transcriptional regulator,NC_004631.1
1571794,1572972,1,T_RS07720,WP_001238497.1,benzoate/H(+) symporter BenE family transporter,NC_004631.1
1573026,1573694,-1,T_RS07725,WP_001259016.1,DUF3313 domain-containing protein,NC_004631.1
1573850,1574446,-1,T_RS07730,WP_000218282.1,tellurite resistance methyltransferase TehB,NC_004631.1
1574433,1575446,-1,T_RS07735,WP_000336113.1,dicarboxylate transporter/tellurite-resistance protein TehA,NC_004631.1
1575553,1576533,1,T_RS07740,WP_000599089.1,YdcK family protein,NC_004631.1
1576530,1577069,-1,T_RS07745,WP_000229308.1,50S ribosomal protein L7/L12-serine acetyltransferase,NC_004631.1
1577286,1578404,1,T_RS07750,WP_000144622.1,M42 family metallopeptidase,NC_004631.1
1578401,1578682,1,T_RS07755,WP_000976132.1,PTS sugar transporter subunit IIB SgcB,NC_004631.1
1578693,1580006,1,T_RS07760,WP_000460840.1,PTS sugar transporter subunit IIC SgcC,NC_004631.1
1580020,1580826,1,T_RS07765,WP_000118614.1,BtpA family protein SgcQ,NC_004631.1
1580958,1581395,1,T_RS07770,WP_000606458.1,SgcA family PTS sugar transporter subunit IIA,NC_004631.1
1581407,1582039,1,T_RS07775,WP_000600613.1,ribulose-phosphate 3 epimerase family protein,NC_004631.1
1582055,1582846,1,T_RS07780,WP_001670738.1,DeoR/GlpR family DNA-binding transcription regulator,NC_004631.1
1582846,1583280,1,T_RS07785,NA,cryptic aminoglycoside N-acetyltransferase AAC(6')-Iy/Iaa,NC_004631.1
1583338,1584540,-1,T_RS07790,WP_000848085.1,lactate oxidase,NC_004631.1
1584552,1585127,-1,T_RS07795,WP_001024312.1,YceI family protein,NC_004631.1
1585323,1586978,-1,T_RS07800,WP_001081955.1,glucan biosynthesis protein,NC_004631.1
1587198,1588706,-1,T_RS07805,WP_000933982.1,carboxylesterase/lipase family protein,NC_004631.1
1588755,1589855,-1,T_RS07810,NA,VOC family protein,NC_004631.1
1589856,1589996,1,T_RS25885,NA,pathogenicity island 2 effector protein SseJ,NC_004631.1
1590117,1590461,-1,T_RS07815,WP_000281194.1,DUF1294 domain-containing protein,NC_004631.1
1591379,1592140,1,T_RS07820,WP_000949382.1,transporter substrate-binding domain-containing protein,NC_004631.1
1592147,1592794,1,T_RS07825,WP_000094452.1,amino acid ABC transporter permease,NC_004631.1
1592819,1593550,1,T_RS07830,WP_001185897.1,amino acid ABC transporter ATP-binding protein,NC_004631.1
1593547,1594227,1,T_RS07835,WP_000560165.1,amino acid ABC transporter permease,NC_004631.1
1594364,1595914,1,T_RS07840,WP_001764195.1,glycosyltransferase family 39 protein,NC_004631.1
1596378,1597040,1,T_RS07845,WP_000683309.1,class I SAM-dependent methyltransferase,NC_004631.1
1597311,1597841,-1,T_RS07850,NA,cytochrome b561,NC_004631.1
1597958,1598758,-1,T_RS07855,WP_001098505.1,YdcF family protein,NC_004631.1
1598822,1602724,-1,T_RS07860,WP_001785213.1,ATP-dependent RNA helicase HrpA,NC_004631.1
1602925,1603530,1,T_RS07865,WP_000048924.1,FMN-dependent NADH-azoreductase,NC_004631.1
1603527,1603976,-1,T_RS07870,WP_001518898.1,GFA family protein,NC_004631.1
1604119,1604442,-1,T_RS07875,WP_000760346.1,YdbL family protein,NC_004631.1
1604450,1604641,-1,T_RS07880,WP_000784063.1,YnbE family lipoprotein,NC_004631.1
1604641,1607278,-1,T_RS07885,NA,YdbH family protein,NC_004631.1
1607545,1608534,1,T_RS07890,WP_000762205.1,D-lactate dehydrogenase,NC_004631.1
1608645,1609055,1,T_RS07895,WP_000725242.1,heat shock protein HslJ,NC_004631.1
1609099,1609365,-1,T_RS07900,WP_001200680.1,DUF333 domain-containing protein,NC_004631.1
1609269,1609580,1,T_RS25430,WP_031603716.1,hypothetical protein,NC_004631.1
1609641,1613165,1,T_RS07910,WP_001193255.1,pyruvate:ferredoxin (flavodoxin) oxidoreductase,NC_004631.1
